date,xrp_predicted_price
2025-04-18,2.032699847500834
2025-04-19,2.050952508689883
2025-04-20,2.048288027783476
2025-04-21,2.0535489134952116
2025-04-22,2.042005719592176
2025-04-23,2.041834204747394
2025-04-24,2.040746111039844
2025-04-25,2.039578060025763
2025-04-26,2.0391337591091014
2025-04-27,2.03887546329207
2025-04-28,2.0385724122557707
2025-04-29,2.0399757994587024
2025-04-30,2.037674658682543
2025-05-01,2.033727649735203
2025-05-02,2.030461080677577
2025-05-03,2.016872593323597
2025-05-04,1.996975466456488
2025-05-05,1.9738025786526392
2025-05-06,1.9460331492035168
2025-05-07,1.9273717079195167
2025-05-08,1.9130152771977915
2025-05-09,1.8990496016864467
2025-05-10,1.89357593802194
2025-05-11,1.8877014040661055
2025-05-12,1.8850854514650859
2025-05-13,1.8840444811902004
2025-05-14,1.8715050320923374
2025-05-15,1.8575919790854414
2025-05-16,1.8409088790499293
2025-05-17,1.831611714787578
2025-05-18,1.8232653681342144
2025-05-19,1.8118554364087303
2025-05-20,1.8089209791755207
2025-05-21,1.809464383801934
2025-05-22,1.813645605040242
2025-05-23,1.8181969900741464
2025-05-24,1.8242032207783379
2025-05-25,1.8163199200527556
2025-05-26,1.8040146431066502
2025-05-27,1.7883706268031487
2025-05-28,1.7618192216846889
2025-05-29,1.7432941734366287
2025-05-30,1.7273508390433678
2025-05-31,1.7260054529990394
2025-06-01,1.7322662465737222
2025-06-02,1.732115202726094
2025-06-03,1.720126704426144
2025-06-04,1.7016417552489795
2025-06-05,1.684019999785142
2025-06-06,1.6727436914901004
