date,eth_predicted_price
2025-04-20,1475.9059653611464
2025-04-21,1567.4504059242317
2025-04-22,1524.5839090218255
2025-04-23,1534.225669591354
2025-04-24,1522.4126002415264
2025-04-25,1472.234539745855
2025-04-26,1490.9342166743397
2025-04-27,1534.017443094823
2025-04-28,1489.0129013898402
2025-04-29,1490.670651684891
2025-04-30,1522.725653200085
2025-05-01,1492.0035965981363
2025-05-02,1502.237444170463
2025-05-03,1520.131423949487
2025-05-04,1462.5371334221954
2025-05-05,1489.8666163565517
2025-05-06,1515.136998482971
2025-05-07,1492.264632637938
2025-05-08,1507.471473928936
2025-05-09,1468.0712766171844
2025-05-10,1455.0156422079035
2025-05-11,1507.9298703009472
2025-05-12,1469.8690660227182
2025-05-13,1465.5126368886215
2025-05-14,1436.8080107307014
2025-05-15,1460.9952171680486
2025-05-16,1471.782343686766
2025-05-17,1443.6833138170837
2025-05-18,1458.4232686395776
2025-05-19,1441.488830389458
2025-05-20,1440.7674016496053
2025-05-21,1430.6800197053728
2025-05-22,1469.6159923086013
2025-05-23,1442.6513540614415
2025-05-24,1417.8918692280406
2025-05-25,1448.9778986136766
2025-05-26,1428.775691061953
2025-05-27,1443.4687438378737
2025-05-28,1408.7656809378698
2025-05-29,1409.5437638621593
2025-05-30,1419.6252027388464
2025-05-31,1426.6418544587366
2025-06-01,1410.2180840395783
2025-06-02,1399.812139907198
2025-06-03,1398.5791484343213
2025-06-04,1384.6272122436346
2025-06-05,1383.7861419818485
2025-06-06,1381.0058418961933
2025-06-07,1390.5593803406587
2025-06-08,1383.7789598191393
