Date,BTC_Price
02/12/2024,95840.62
29/11/2024,97460.0
26/11/2024,91965.16
23/11/2024,97672.4
17/11/2024,89855.99
16/11/2024,90586.92
06/11/2024,75571.99
06/11/2024,75571.99
19/04/2025,85077.01
16/04/2025,84030.38
09/04/2025,82615.22
31/03/2025,82550.01
27/03/2025,87232.01
18/03/2025,82715.03
18/03/2025,82715.03
18/03/2025,82715.03
17/03/2025,84010.03
17/03/2025,84010.03
12/03/2025,83680.12
11/03/2025,82932.99
09/03/2025,80734.37
07/03/2025,86801.75
05/03/2025,90606.01
04/03/2025,87281.98
02/03/2025,94270.0
02/03/2025,94270.0
02/03/2025,94270.0
28/02/2025,84349.94
27/02/2025,84708.58
25/02/2025,88680.4
25/02/2025,88680.4
21/02/2025,96181.98
19/02/2025,96644.37
17/02/2025,95780.0
17/02/2025,95780.0
14/02/2025,97500.48
14/02/2025,97500.48
14/02/2025,97500.48
13/02/2025,96608.14
11/02/2025,95778.2
11/02/2025,95778.2
11/02/2025,95778.2
10/02/2025,97430.82
10/02/2025,97430.82
06/02/2025,96554.35
05/02/2025,96612.43
04/02/2025,97763.13
04/02/2025,97763.13
03/02/2025,101328.52
03/02/2025,101328.52
01/02/2025,100635.65
31/01/2025,102429.56
30/01/2025,104722.94
30/01/2025,104722.94
29/01/2025,103733.24
28/01/2025,101335.52
26/01/2025,102620.0
24/01/2025,104870.5
24/01/2025,104870.5
23/01/2025,103910.34
23/01/2025,103910.34
21/01/2025,106143.82
20/01/2025,102260.01
20/01/2025,102260.01
18/01/2025,104556.23
17/01/2025,104077.48
14/01/2025,96560.86
13/01/2025,94536.1
