Date,BTC_Price
3/17/2025,84010.03
3/17/2025,84010.03
3/17/2025,84010.03
3/17/2025,84010.03
3/17/2025,84010.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/18/2025,82715.03
3/19/2025,86845.94
3/19/2025,86845.94
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/20/2025,84223.39
3/22/2025,83840.59
3/22/2025,83840.59
3/22/2025,83840.59
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/23/2025,86082.5
3/26/2025,86909.17
3/26/2025,86909.17
3/26/2025,86909.17
3/26/2025,86909.17
3/26/2025,86909.17
3/27/2025,87232.01
3/27/2025,87232.01
3/27/2025,87232.01
3/27/2025,87232.01
3/27/2025,87232.01
3/27/2025,87232.01
3/27/2025,87232.01
3/28/2025,84424.38
3/28/2025,84424.38
3/28/2025,84424.38
3/28/2025,84424.38
3/28/2025,84424.38
3/28/2025,84424.38
3/28/2025,84424.38
3/28/2025,84424.38
3/28/2025,84424.38
3/30/2025,82389.99
3/30/2025,82389.99
3/30/2025,82389.99
3/30/2025,82389.99
3/30/2025,82389.99
3/30/2025,82389.99
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
3/31/2025,82550.01
4/1/2025,85158.34
4/2/2025,82516.29
4/2/2025,82516.29
4/2/2025,82516.29
4/2/2025,82516.29
4/2/2025,82516.29
4/2/2025,82516.29
4/2/2025,82516.29
4/3/2025,83213.09
4/3/2025,83213.09
4/3/2025,83213.09
4/3/2025,83213.09
4/3/2025,83213.09
4/3/2025,83213.09
4/4/2025,83889.87
4/4/2025,83889.87
4/4/2025,83889.87
4/4/2025,83889.87
4/4/2025,83889.87
4/5/2025,83537.99
4/5/2025,83537.99
4/5/2025,83537.99
4/5/2025,83537.99
4/5/2025,83537.99
4/13/2025,83760.0
4/13/2025,83760.0
4/13/2025,83760.0
4/13/2025,83760.0
4/13/2025,83760.0
4/13/2025,83760.0
4/14/2025,84591.58
4/14/2025,84591.58
4/14/2025,84591.58
4/14/2025,84591.58
4/14/2025,84591.58
4/14/2025,84591.58
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/16/2025,84030.38
4/17/2025,84947.91
4/17/2025,84947.91
4/17/2025,84947.91
